"","Plot.Code","region","m.rates.likstanding","m.rates.notstanding","census.interval.m0","p.MoD.notstanding","p.MoD.lik.standing"
"1","AGJ-01","3AMA_W",0.00657249105193872,0.0149363824271225,0.313484441847041,0.648785244024617,0.351214755975383
"2","AGP-01","3AMA_W",0.00351182886585629,0.0116641570136578,-0.423182224819625,0.613095238095238,0.386904761904762
"3","AGP-02","3AMA_W",0.00568524483017516,0.0163414706192677,-0.421515558152958,0.70797619047619,0.29202380952381
"4","ALF-01","4AMA_BrSh",0.00947718691453998,0.00218924471067278,0.640484441847041,0.193975081071855,0.806024918928145
"5","ALF-02","4AMA_BrSh",0.0168846920961795,0.00726915035314785,-0.524848891486292,0.297115384615385,0.702884615384615
"6","ALM-01","3AMA_W",0.00674629627562206,0.0074208641275901,0.958651108513708,0.517466822794692,0.482533177205308
"7","ALP-01","3AMA_W",0.0047424226871018,0.0119194808718993,-0.325071113708514,0.710646072337249,0.289353927662751
"8","ALP-30","3AMA_W",0.00753179676827132,0.0118252771257452,-0.454448891486292,0.582745032745033,0.401870351870352
"9","ALP-40","3AMA_W",0.0102508330697263,0.00561813063811878,-0.282182224819625,0.345880524095048,0.654119475904952
"10","ALV-02","4AMA_BrSh",0.0107516393055934,0.00534359809061846,0.199151108513708,0.32,0.64
"11","BAR-01","3AMA_W",0.00675086989182916,0.00823086903508851,0.481151108513708,0.533783783783784,0.466216216216216
"12","BEE-01","3AMA_W",0.00765399881734829,0.00862190533064855,-0.380848891486292,0.490384615384615,0.509615384615385
"13","BEE-05","3AMA_W",0.00434902050614065,0.00867052582809399,-0.556848891486291,0.67324650657984,0.32675349342016
"14","BES-01","3AMA_W",0.0103478280962174,0.00641467508493143,2.14415110851371,0.384615384615385,0.615384615384615
"15","BOG-01","3AMA_W",0.00670530859003399,0.00860424252678371,0.584151108513709,0.60952380952381,0.39047619047619
"16","BOG-02","3AMA_W",0.00499454307958608,0.0184864813839045,-0.811348891486292,0.77382053654024,0.226179463459759
"17","CAX-01","2AMA_EC",0.00398950249495146,0.00243399804490529,1.35015110851371,0.393939393939394,0.606060606060606
"18","CAX-02","2AMA_EC",0.00334150470719804,0.00502159830982393,2.20715110851371,0.574579831932773,0.425420168067227
"19","CAX-06","2AMA_EC",0.0119706423820078,0.000739737983799782,-0.00584889148629175,0.0588235294117647,0.941176470588235
"20","CAX-08","2AMA_EC",0.00766160805441229,0.00352125581188745,0.0131511085137084,0.315789473684211,0.684210526315789
"21","CLA-34","3AMA_W",0.00865055971300016,0.00997593828757927,1.07265110851371,0.511853448275862,0.488146551724138
"22","CRP-02","4AMA_BrSh",0.0156819149592205,0.0149565320762351,-0.253598891486292,0.494381159404512,0.505618840595488
"23","CUZ-02","3AMA_W",0.00317905178496984,0.0122697273166318,0.599151108513708,0.792134472134472,0.207865527865528
"24","CUZ-03","3AMA_W",0.00431937337280085,0.0117211864235083,0.59757967994228,0.697625674496663,0.302374325503337
"25","CUZ-04","3AMA_W",0.00514313021703795,0.0203492641196054,0.59557967994228,0.789619654071221,0.210380345928779
"26","DOI-01","3AMA_W",0.00615473959352626,0.00970826080163576,-0.524848891486291,0.593410609857978,0.384502923976608
"27","DOI-02","3AMA_W",0.0198222803772846,0.024291563854919,-0.781098891486292,0.541456582633053,0.451190476190476
"28","ELD-12","1AMA_GuSh",0.00423801098604793,0.00365844719133512,1.61081777518038,0.416666666666667,0.541666666666667
"29","ELD-34","1AMA_GuSh",0.00680650091248229,0.00847375070236893,-0.59903070966811,0.52928977502407,0.47071022497593
"30","FEC-01","3AMA_W",0.00907649496500896,0.0132705545086519,-1.60734889148629,0.594117647058824,0.405882352941176
"31","FLO-01","4AMA_BrSh",0.00789508796487735,0.0191662675770202,-0.702515558152958,0.647956989247312,0.345376344086022
"32","FLO-02","4AMA_BrSh",0.00367057055607302,0.00950812643753108,-0.792348891486292,0.769480519480519,0.230519480519481
"33","FMH-01","1AMA_GuSh",0.00630627629757411,0.00372837305878809,-0.0778488914862918,0.397727272727273,0.602272727272727
"34","FMH-03","1AMA_GuSh",0.00382261188114119,0.00242656462069102,1.52215110851371,0.388888888888889,0.611111111111111
"35","HCC-21","4AMA_BrSh",0.00977930023230029,0.0131991377102988,0.391151108513708,0.564206123145148,0.435793876854852
"36","HCC-22","4AMA_BrSh",0.00910467593552507,0.00962283357096879,0.391951108513708,0.483030303030303,0.516969696969697
"37","HCC-24","4AMA_BrSh",0.0222581998493083,0.0094801338746493,-0.998348891486291,0.351213282247765,0.648786717752235
"38","IWO-21","1AMA_GuSh",0.00764475884837842,0.00414116751861419,0.649151108513708,0.36336032388664,0.63663967611336
"39","IWO-22","1AMA_GuSh",0.00609958211633486,0.000901801512783244,0.645651108513709,0.0833333333333333,0.916666666666667
"40","JAS-02","3AMA_W",0.00653606236457052,0.0193810386881727,0.159651108513708,0.579052730215521,0.420947269784479
"41","JAS-03","3AMA_W",0.00664919805101074,0.00929850540500067,0.426751108513708,0.531391022358764,0.468608977641236
"42","JAS-04","3AMA_W",0.00570214951623745,0.00625344457574473,1.25490110851371,0.533274841460042,0.462487870404365
"43","JAS-05","3AMA_W",0.00950313169754331,0.00627923458372934,0.771651108513708,0.377540650406504,0.622459349593496
"44","KAL-01","3AMA_W",0.00681441627253232,0.00407143417218614,1.05515110851371,0.375,0.625
"45","LAS-02","3AMA_W",0.00341072241031443,0.0127706986940257,2.23115110851371,0.773809523809524,0.226190476190476
"46","LFB-01","4AMA_BrSh",0.0100942975379778,0.008569325670411,0.300151108513708,0.442406074387769,0.550018168036474
"47","LFB-02","4AMA_BrSh",0.0116158401602746,0.00850506502843033,-0.254182224819625,0.432084461432288,0.567915538567712
"48","LOR-01","3AMA_W",0.00602380670522975,0.00780303854574111,0.851151108513708,0.597424412094065,0.402575587905935
"49","LSL-01","4AMA_BrSh",0.0140684992628302,0.0117932863233454,1.53715110851371,0.4503259452412,0.541981747066493
"50","LSL-02","4AMA_BrSh",0.00759785520528964,0.00830148400191644,2.71715110851371,0.480209705753184,0.519790294246816
"51","MIN-01","3AMA_W",0.0073333502191345,0.00859248714958442,-1.04484889148629,0.520050125313283,0.456140350877193
"52","MNU-03","3AMA_W",0.0075833659744905,0.00884360060480927,1.95815110851371,0.537735849056604,0.462264150943396
"53","MNU-04","3AMA_W",0.00295531920669188,0.00898626414438256,-0.464348891486292,0.74375,0.25625
"54","MNU-05","3AMA_W",0.00468490618184552,0.00604421592868776,0.791651108513708,0.627874660755229,0.372125339244771
"55","MNU-06","3AMA_W",0.00693250930733574,0.00895197118033087,0.928651108513708,0.542127335112467,0.457872664887533
"56","MNU-08","3AMA_W",0.00661777529201102,0.00999194749670707,1.86615110851371,0.6,0.4
"57","MNU-09","3AMA_W",0.00791792557560012,0.0105823000810775,3.01215110851371,0.57037037037037,0.42962962962963
"58","MTG-58","3AMA_W",0.00285050959235001,0.00444209527751116,-0.524848891486292,0.555555555555556,0.361111111111111
"59","MTH-01","3AMA_W",0.00580882359095618,0.00800562364763369,0.260484441847042,0.572619047619048,0.427380952380952
"60","NOU-02","1AMA_GuSh",0.00293982605887575,0.0056658508253078,1.49465110851371,0.632805383022774,0.367194616977226
"61","NOU-04","1AMA_GuSh",0.00584505533949924,0.0089530873206454,2.07215110851371,0.561044634377968,0.438955365622032
"62","NOU-10","1AMA_GuSh",0.0047956059697849,0.0120720886492813,3.14148444184704,0.71609405087666,0.28390594912334
"63","NOU-GP1","1AMA_GuSh",0.00464848587000042,0.00887795591904442,3.57848444184704,0.636633665629099,0.361823124494357
"64","NOU-PP","1AMA_GuSh",0.00377488757796042,0.00638123996238804,3.74948444184704,0.623964667886585,0.376035332113415
"65","OTT-01","4AMA_BrSh",0.0102261422901743,0.010616744433665,0.164151108513708,0.477272727272727,0.522727272727273
"66","PAK-02","3AMA_W",0.00971522259658308,0.00755439652856982,-1.78884889148629,0.4375,0.5625
"67","PAR-01","1AMA_GuSh",0.00959297988513218,0.014073352271626,-1.10034889148629,0.557692307692308,0.442307692307692
"68","PAR-02","1AMA_GuSh",0.00737270943181931,0.0035140664185603,-1.05734889148629,0.313299232736573,0.686700767263427
"69","PAR-03","1AMA_GuSh",0.00366100030699028,0.0079898300225797,-1.17784889148629,0.75,0.25
"70","PAR-04","1AMA_GuSh",0.00510246692890333,0.00615898608434153,-1.07284889148629,0.545454545454545,0.454545454545455
"71","PNY-03","3AMA_W",0.0086977438518241,0.0183114788077712,0.574484441847042,0.638067889873572,0.361932110126428
"72","PNY-04","3AMA_W",0.00625555558757768,0.0300434130244312,-0.356515558152958,0.825978460730234,0.174021539269766
"73","PNY-05","3AMA_W",0.00647213820492748,0.0103053062704213,-0.578848891486292,0.583148558758315,0.416851441241685
"74","PNY-06","3AMA_W",0.0063102531818862,0.0166797929042809,-0.552848891486291,0.675892857142857,0.324107142857143
"75","PNY-07","3AMA_W",0.00722028415587439,0.0156605496965572,-0.583515558152958,0.66234827264239,0.33765172735761
"76","POR-01","3AMA_W",0.0067228769553851,0.0114576816768307,-0.195848891486292,0.594195180402077,0.405804819597923
"77","POR-02","3AMA_W",0.012679087935246,0.00961756728786904,-0.524348891486292,0.436721611721612,0.551373626373626
"78","PTN-01","3AMA_W",0.00420224580497361,0.013016625639001,2.13715110851371,0.786525974025974,0.196428571428571
"79","RCS-01","3AMA_W",0.00673203227382269,0.00800846504614972,0.753151108513708,0.542857142857143,0.457142857142857
"80","RCS-05","3AMA_W",0.0130296500133247,0.0124559254772686,-0.00784889148629153,0.488888888888889,0.511111111111111
"81","RET-05","3AMA_W",0.00679953519191312,0.00421605539050639,-1.57864889148629,0.448671679197995,0.50922305764411
"82","RET-06","3AMA_W",0.00778104724092596,0.0120770513898443,-0.933848891486292,0.489348370927318,0.493107769423559
"83","RET-08","3AMA_W",0.00737302988422917,0.00777514619671873,-1.27351555815296,0.533333333333333,0.466666666666667
"84","RET-09","3AMA_W",0.0097728369425834,0.00654739487403256,-1.27484889148629,0.288405797101449,0.711594202898551
"85","RFH-01","3AMA_W",0.0156143026006924,0.0154254435016235,-1.19284889148629,0.5,0.5
"86","RIO-03","1AMA_GuSh",0.00652997555441702,0.00607314642021975,0.304401108513709,0.449745813397129,0.550254186602871
"87","RST-01","3AMA_W",0.00427768235322679,0.00711560110787664,1.48715110851371,0.587612656161043,0.394530200981814
"88","SAA-01","4AMA_BrSh",0.00964442879357327,0.0145281908645438,-0.962848891486292,0.612179487179487,0.387820512820513
"89","SCR-04","1AMA_GuSh",0.00369134406422499,0.00678699453329359,0.926151108513708,0.679841897233202,0.320158102766798
"90","SCR-05","1AMA_GuSh",0.00220727919203989,0.00441944227192648,-1.02084889148629,0.666666666666667,0.333333333333333
"91","SCT-01","3AMA_W",0.00552887011664325,0.0154396686368693,-0.552098891486291,0.711630036630037,0.288369963369963
"92","SCT-06","3AMA_W",0.00424654971378428,0.0265723617421666,-0.787182224819625,0.793338240706662,0.206661759293338
"93","SMT-02","4AMA_BrSh",0.0160810800924044,0.00830316550444147,-0.680182224819625,0.336182336182336,0.651471984805318
"94","SMT-03","4AMA_BrSh",0.018897563220773,0,-0.980848891486292,0,1
"95","SUC-01","3AMA_W",0.0064453633738765,0.0094137996746679,0.220151108513708,0.550077574889605,0.449922425110395
"96","SUC-02","3AMA_W",0.00608563502287416,0.0126091373699725,0.222817775180375,0.614952001889361,0.385047998110639
"97","SUC-03","3AMA_W",0.00813886275581139,0.0130409639482737,0.644401108513708,0.615222865501174,0.384777134498826
"98","SUC-04","3AMA_W",0.00567281314575768,0.010301764882412,-0.145648891486292,0.623019480519481,0.36745670995671
"99","SUC-05","3AMA_W",0.00676874134079546,0.00972977567786347,-0.138648891486292,0.536817964644052,0.445790731008122
"100","TAM-01","3AMA_W",0.00612453844861494,0.00963979279815252,0.0440082513708511,0.590681593175199,0.409318406824801
"101","TAM-02","3AMA_W",0.00560212247095896,0.00966732964698322,-0.128473891486292,0.616331816331816,0.383668183668184
"102","TAM-05","3AMA_W",0.00701251407750629,0.013020848815343,-0.290098891486291,0.65748226365684,0.34251773634316
"103","TAM-06","3AMA_W",0.00496627435243935,0.00634500007852252,-0.219015558152958,0.601256613756614,0.398743386243386
"104","TAM-07","3AMA_W",0.00914926822483994,0.0128712703702366,0.290293965656566,0.585553457302254,0.414446542697746
"105","TAM-08","3AMA_W",0.00958722176333538,0.0122412989570729,-0.386848891486292,0.589015331120594,0.410984668879406
"106","TAM-09","3AMA_W",0.0115797754363929,0.018546305940657,-1.82651555815296,0.40375234521576,0.59624765478424
"107","TAN-02","4AMA_BrSh",0.0194276405783338,0.0172702366555511,-1.23851555815296,0.520481740481741,0.47951825951826
"108","TAN-03","4AMA_BrSh",0.0193431081849751,0.0174370465014358,-1.24618222481963,0.424055622651637,0.575944377348363
"109","TAN-04","4AMA_BrSh",0.0150330815921277,0.0211174467048535,-0.735515558152958,0.593134236453202,0.406865763546798
"110","TEC-01","2AMA_EC",0.00412437712252927,0.00956981307393735,-2.03618222481962,0.682142857142857,0.317857142857143
"111","TEC-06","2AMA_EC",0.0101152814404796,0,-1.91984889148629,0,1
"112","TEM-03","2AMA_EC",0.0140423479927472,0,-1.96184889148629,0,1
"113","TEM-04","2AMA_EC",0.0230112504489968,0.00164367845301849,-2.01984889148629,0.0666666666666667,0.933333333333333
"114","TEM-05","2AMA_EC",0.00467960620273785,0.00702093173872254,-2.00234889148629,0.611111111111111,0.388888888888889
"115","TEM-06","2AMA_EC",0.00137576658447303,0.00963256098217102,-1.96384889148629,0.875,0.125
"116","TIP-02","3AMA_W",0.00438222581452074,0.00740962829754711,0.462651108513708,0.537367724867725,0.462632275132275
"117","TIP-03","3AMA_W",0.00837345494797177,0.00482308304558289,-0.231848891486292,0.39327485380117,0.60672514619883
"118","TUC-01","3AMA_W",0.0047227515595805,0.00156655118903116,0.335151108513708,0.246464646464646,0.731313131313131
"119","VCR-01","4AMA_BrSh",0.0189218328921174,0.00543616675046619,-1.40684889148629,0.243589743589744,0.756410256410256
"120","YAN-01","3AMA_W",0.00765839686648856,0.0184158555254468,0.860951108513709,0.692822468935572,0.303095898411367
"121","YAN-02","3AMA_W",0.00482209190661678,0.00893711946536717,0.575651108513708,0.618188601136035,0.381811398863965
"122","ZAR-01","3AMA_W",0.0134116299834658,0,-2.03384889148629,0,1
"123","ZAR-02","3AMA_W",0.0106664174582608,0.00152341027670022,-1.96684889148629,0.125,0.875
"124","ZAR-03","3AMA_W",0.0135822049434521,0.00240430355733065,-2.10384889148629,0.156565656565657,0.843434343434343
"125","ZAR-04","3AMA_W",0.0178478291714104,0.00324651574460955,-2.07984889148629,0.153846153846154,0.846153846153846
